,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
139,,results_top_three_domain_frac_www.cfr.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
140,,results_top_domain_frac_www.cfr.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
141,,results_full_domain_frac_www.geek.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
142,,results_top_three_domain_frac_www.geek.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
143,,results_top_domain_frac_www.geek.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
144,,results_full_domain_frac_twitter.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
145,,results_top_three_domain_frac_twitter.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
146,,results_top_domain_frac_twitter.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
147,,results_full_domain_frac_www.sacbee.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
148,,results_top_three_domain_frac_www.sacbee.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
149,,results_top_domain_frac_www.sacbee.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
150,,results_full_domain_frac_www.johnsonchevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
151,,results_top_three_domain_frac_www.johnsonchevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
152,,results_top_domain_frac_www.johnsonchevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
153,,results_full_domain_frac_www.wilsonofamestoyota.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
154,,results_top_three_domain_frac_www.wilsonofamestoyota.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
155,,results_top_domain_frac_www.wilsonofamestoyota.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
156,,results_full_domain_frac_www.patclemonsgm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
157,,results_top_three_domain_frac_www.patclemonsgm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
158,,results_top_domain_frac_www.patclemonsgm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
159,,results_full_domain_frac_www.publicintegrity.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
160,,results_top_three_domain_frac_www.publicintegrity.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
161,,results_top_domain_frac_www.publicintegrity.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
162,,results_full_domain_frac_www.toyotaofdenton.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
163,,results_top_three_domain_frac_www.toyotaofdenton.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
164,,results_top_domain_frac_www.toyotaofdenton.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
165,,results_full_domain_frac_www.pymnts.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
166,,results_top_three_domain_frac_www.pymnts.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
167,,results_top_domain_frac_www.pymnts.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
168,,results_full_domain_frac_www.gardenvisit.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
169,,results_top_three_domain_frac_www.gardenvisit.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
170,,results_top_domain_frac_www.gardenvisit.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
171,,results_full_domain_frac_www.nonhumanrights.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
172,,results_top_three_domain_frac_www.nonhumanrights.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
173,,results_top_domain_frac_www.nonhumanrights.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
174,,results_full_domain_frac_www.hoursguide.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
175,,results_top_three_domain_frac_www.hoursguide.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
176,,results_top_domain_frac_www.hoursguide.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
177,,results_full_domain_frac_places.singleplatform.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
178,,results_top_three_domain_frac_places.singleplatform.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
179,,results_top_domain_frac_places.singleplatform.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
180,,results_full_domain_frac_www.inc.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
181,,results_top_three_domain_frac_www.inc.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
182,,results_top_domain_frac_www.inc.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
183,,results_full_domain_frac_www.earnhardthonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
184,,results_top_three_domain_frac_www.earnhardthonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
